L 30f3ec,4 hit 
L 30f3f0,4 hit 
L 30f3f4,4 hit 
L 30f3f8,4 hit 
L 30f3fc,4 hit 
S 351948,4 hit 
S 351a48,4 hit 
S 351b48,4 hit 
S 351c48,4 hit 
S 351958,4 hit 
S 351a58,4 hit 
S 351b58,4 hit 
S 351c58,4 hit 
L 30f4e0,4 miss 
L 30f4e4,4 hit 
L 30f4e8,4 hit 
L 30f4ec,4 hit 
L 30f4f0,4 hit 
L 30f4f4,4 hit 
L 30f4f8,4 hit 
L 30f4fc,4 hit 
S 35194c,4 hit 
S 351a4c,4 hit 
S 351b4c,4 hit 
S 351c4c,4 hit 
S 35195c,4 hit 
S 351a5c,4 hit 
S 351b5c,4 hit 
S 351c5c,4 hit 
L 351950,4 hit 
L 351954,4 hit 
L 351958,4 hit 
L 35195c,4 hit 
L 30f5e0,4 miss eviction 
L 30f6e0,4 miss eviction 
L 30f7e0,4 miss eviction 
L 30f8e0,4 miss eviction 
S 351950,4 hit 
S 351954,4 hit 
S 351958,4 hit 
S 35195c,4 hit 
S 351d40,4 miss eviction 
S 351d44,4 hit 
S 351d48,4 hit 
S 351d4c,4 hit 
L 351a50,4 hit 
L 351a54,4 hit 
L 351a58,4 hit 
L 351a5c,4 hit 
L 30f5e4,4 hit 
L 30f6e4,4 hit 
L 30f7e4,4 hit 
L 30f8e4,4 hit 
S 351a50,4 hit 
S 351a54,4 hit 
S 351a58,4 hit 
S 351a5c,4 hit 
S 351e40,4 miss eviction 
S 351e44,4 hit 
S 351e48,4 hit 
S 351e4c,4 hit 
L 351b50,4 hit 
L 351b54,4 hit 
L 351b58,4 hit 
L 351b5c,4 hit 
L 30f5e8,4 hit 
L 30f6e8,4 hit 
L 30f7e8,4 hit 
L 30f8e8,4 hit 
S 351b50,4 hit 
S 351b54,4 hit 
S 351b58,4 hit 
S 351b5c,4 hit 
S 351f40,4 miss eviction 
S 351f44,4 hit 
S 351f48,4 hit 
S 351f4c,4 hit 
L 351c50,4 hit 
L 351c54,4 hit 
L 351c58,4 hit 
L 351c5c,4 hit 
L 30f5ec,4 hit 
L 30f6ec,4 hit 
L 30f7ec,4 hit 
L 30f8ec,4 hit 
S 351c50,4 hit 
S 351c54,4 hit 
S 351c58,4 hit 
S 351c5c,4 hit 
S 352040,4 miss eviction 
S 352044,4 hit 
S 352048,4 hit 
S 35204c,4 hit 
L 30f5f0,4 hit 
L 30f6f0,4 hit 
L 30f7f0,4 hit 
L 30f8f0,4 hit 
S 351d50,4 hit 
S 351d54,4 hit 
S 351d58,4 hit 
S 351d5c,4 hit 
L 30f5f4,4 hit 
L 30f6f4,4 hit 
L 30f7f4,4 hit 
L 30f8f4,4 hit 
S 351e50,4 hit 
S 351e54,4 hit 
S 351e58,4 hit 
S 351e5c,4 hit 
L 30f5f8,4 hit 
L 30f6f8,4 hit 
L 30f7f8,4 hit 
L 30f8f8,4 hit 
S 351f50,4 hit 
S 351f54,4 hit 
S 351f58,4 hit 
S 351f5c,4 hit 
L 30f5fc,4 hit 
L 30f6fc,4 hit 
L 30f7fc,4 hit 
L 30f8fc,4 hit 
S 352050,4 hit 
S 352054,4 hit 
S 352058,4 hit 
S 35205c,4 hit 
L 30f200,4 miss 
L 30f204,4 hit 
L 30f208,4 hit 
L 30f20c,4 hit 
L 30f210,4 hit 
L 30f214,4 hit 
L 30f218,4 hit 
L 30f21c,4 hit 
S 352140,4 miss eviction 
